country,fecha,marketing_spend,discount_pct,stock_available,price,sales
CL,01/07/2025,3796,0.144,463,21.84,3928.87
CL,01/08/2025,7993,0.047,297,20.87,6285.82
CL,01/08/2025,6220,0.179,941,27.84,6185.62
CL,01/09/2025,2138,0.277,775,47.06,2975.45
CL,01/09/2025,1864,0.019,948,29.86,2697.52
CL,01/10/2025,6626,0.206,1168,42.05,6305.82
CL,01/10/2025,3406,0.073,880,35.73,4065.21
CL,01/11/2025,2213,0.169,522,27.94,2931.98
CL,01/11/2025,7788,0.103,274,49.92,5425.21
CL,01/12/2025,1566,0.195,395,22.09,3363.84
CL,01/12/2025,5507,0.129,844,35.8,6135.05
UY,01/01/2023,4160,0.109,531,46.56,2929.68
UY,01/01/2023,7585,0.182,538,18.35,4778.69
UY,01/02/2023,3824,0.046,752,40.93,3405.07
UY,01/02/2023,7466,0.245,1130,41.07,5964.82
UY,01/03/2023,7617,0.201,690,51.77,4770.31
UY,01/03/2023,7816,0.231,575,63.5,5607.66
UY,01/04/2023,3310,0.06,781,29.39,3546.21
UY,01/04/2023,5915,0.026,1143,25.26,5366.29
UY,01/05/2023,3526,0.178,1151,33.82,4288.08
UY,01/05/2023,7232,0.001,1026,46.0,6001.82
UY,01/06/2023,7539,0.182,668,34.4,6011.1
UY,01/06/2023,4135,0.114,762,52.83,3754.58
UY,01/07/2023,4465,0.014,598,24.57,3965.62
UY,01/07/2023,2814,0.049,254,29.08,2577.15
UY,01/08/2023,1577,0.157,381,32.86,2496.94
UY,01/08/2023,3363,0.132,775,60.28,3555.08
UY,01/09/2023,7484,0.224,392,45.14,4921.17
UY,01/09/2023,5533,0.163,865,28.76,4807.74
UY,01/10/2023,4610,0.035,895,33.64,4776.42
UY,01/10/2023,7242,0.186,727,60.01,5754.83
UY,01/11/2023,1919,0.299,690,32.65,3375.34
UY,01/11/2023,6873,0.061,1083,53.84,5997.31
UY,01/12/2023,7254,0.226,367,56.6,5417.05
UY,01/12/2023,4728,0.162,406,28.77,4168.67
UY,01/01/2024,4391,0.232,660,48.13,3488.72
UY,01/01/2024,3334,0.18,909,26.54,4018.96
UY,01/02/2024,7461,0.103,383,36.84,4739.7
UY,01/02/2024,3943,0.274,865,41.78,3718.74
UY,01/03/2024,2484,0.077,865,58.99,2563.07
UY,01/03/2024,6943,0.237,1054,51.24,5715.51
UY,01/04/2024,4677,0.231,1048,46.52,5043.09
UY,01/04/2024,4867,0.252,1028,39.19,4746.83
UY,01/05/2024,4361,0.071,595,57.43,3313.85
UY,01/05/2024,6531,0.182,680,20.57,5782.15
UY,01/06/2024,1701,0.241,366,46.37,1834.44
UY,01/06/2024,3125,0.276,635,39.89,3154.75
UY,01/07/2024,1974,0.221,778,45.59,3006.79
UY,01/07/2024,6799,0.126,1105,32.64,6116.28
UY,01/08/2024,5880,0.174,911,28.34,5857.61
UY,01/08/2024,6444,0.288,938,44.19,5723.24
UY,01/09/2024,1841,0.026,950,26.67,2832.98
UY,01/09/2024,2489,0.225,1140,55.59,3293.26
UY,01/10/2024,4889,0.062,534,47.37,4070.87
UY,01/10/2024,3565,0.088,620,39.3,3285.46
UY,01/11/2024,5789,0.16,362,36.84,4293.62
UY,01/11/2024,7516,0.1,304,62.47,4975.05
UY,01/12/2024,6395,0.082,1127,42.75,6903.11
UY,01/12/2024,7454,0.069,692,41.76,5816.88
UY,01/01/2025,1827,0.031,488,44.76,1674.68
UY,01/01/2025,6883,0.03,345,64.47,3833.94
UY,01/02/2025,2811,0.257,740,63.24,2152.25
UY,01/02/2025,7597,0.004,1024,52.59,5092.95
UY,01/03/2025,4656,0.008,630,59.19,3515.39
UY,01/03/2025,3420,0.245,1165,33.79,4431.7
UY,01/04/2025,2909,0.109,368,30.6,2244.04
UY,01/04/2025,7353,0.109,302,31.84,5305.93
UY,01/05/2025,7119,0.292,613,24.59,5789.32
UY,01/05/2025,5723,0.055,1131,19.06,6005.54
UY,01/06/2025,4073,0.223,486,36.92,3790.07
UY,01/06/2025,4041,0.295,691,60.33,3368.04
UY,01/07/2025,4157,0.082,324,56.66,3214.31
UY,01/07/2025,1540,0.082,266,37.05,1623.29
UY,01/08/2025,6997,0.216,878,18.52,6771.58
UY,01/08/2025,7911,0.19,1070,26.24,7693.48
UY,01/09/2025,3208,0.251,725,54.23,2806.75
UY,01/09/2025,7441,0.221,1068,22.25,6641.41
UY,01/10/2025,6990,0.074,398,57.34,4798.43
UY,01/10/2025,1686,0.089,476,62.62,1539.28
UY,01/11/2025,5650,0.199,1007,24.35,5676.95
UY,01/11/2025,2250,0.079,988,57.55,3094.5
UY,01/12/2025,5420,0.149,614,25.27,5237.1
UY,01/12/2025,3620,0.023,266,37.4,3558.6
